Institution Code,District Code,District Name,Total,Male,Female,American Indian,Asian American,Black,White,Hispanic,Pacific Islander,Two or More races
11,2,Ansonia School District,2316,1226,1090,14,28,445,1080,691,31,27
11,3,Ashford School District,422,217,205,0,9,10,363,27,0,13
11,4,Avon School District,3369,1671,1698,6,369,129,2561,195,,106
11,5,Barkhamsted School District,306,171,135,0,,,296,,0,
11,7,Berlin School District,2949,1582,1367,,78,67,2459,252,,89
11,8,Bethany School District,436,237,199,,43,11,369,10,0,
11,9,Bethel School District,2989,1557,1432,0,193,58,2252,412,,72
11,11,Bloomfield School District,2087,1058,1029,,27,1504,224,234,,94
11,12,Bolton School District,862,432,430,0,23,48,741,36,0,14
11,13,Bozrah School District,243,124,119,,,15,204,18,0,
11,14,Branford School District,3219,1658,1561,6,249,100,2519,275,0,70
11,15,Bridgeport School District,20710,10797,9913,75,577,7774,2091,10081,21,91
11,17,Bristol School District,8193,4243,3950,13,267,544,5397,1733,,238
11,18,Brookfield School District,2762,1380,1382,9,164,41,2385,157,,
11,19,Brooklyn School District,919,484,435,,19,14,795,60,,28
11,21,Canaan School District,77,36,41,0,0,0,67,9,0,
11,22,Canterbury School District,458,254,204,0,0,,413,21,0,20
11,23,Canton School District,1688,853,835,,45,76,1453,93,0,18
11,24,Chaplin School District,183,92,91,,,,158,12,0,9
11,25,Cheshire School District,4593,2341,2252,11,432,128,3821,178,0,23
11,26,Chester School District,228,101,127,0,,,209,,0,9
11,27,Clinton School District,1953,997,956,7,50,14,1642,202,,36
11,28,Colchester School District,2727,1366,1361,19,57,67,2398,138,,47
11,29,Colebrook School District,98,53,45,0,0,0,86,,0,9
11,30,Columbia School District,467,237,230,0,,6,429,24,0,
11,31,Cornwall School District,105,63,42,0,,,88,9,0,6
11,32,Coventry School District,1684,839,845,,16,16,1513,80,0,57
11,33,Cromwell School District,1946,1006,940,,120,167,1483,153,,19
11,34,Danbury School District,10762,5518,5244,11,762,833,4309,4580,6,261
11,35,Darien School District,4889,2519,2370,8,181,25,4474,176,0,25
11,36,Deep River School District,330,163,167,0,,,293,27,0,
11,37,Derby School District,1499,752,747,0,33,236,811,368,7,44
11,39,Eastford School District,150,76,74,,,,141,,0,
11,40,East Granby School District,868,456,412,,42,66,679,54,0,23
11,41,East Haddam School District,1183,599,584,,12,7,1109,34,0,17
11,42,East Hampton School District,1869,939,930,0,31,15,1719,75,,28
11,43,East Hartford School District,7129,3687,3442,22,361,2452,1201,3029,,62
11,44,East Haven School District,3055,1587,1468,6,136,94,2120,652,,45
11,45,East Lyme School District,2863,1437,1426,8,271,59,2346,129,,48
11,46,Easton School District,960,512,448,,53,13,847,38,0,
11,47,East Windsor School District,1198,610,588,,61,126,793,157,0,57
11,48,Ellington School District,2657,1348,1309,,149,108,2204,113,0,79
11,49,Enfield School District,5192,2682,2510,19,138,290,3943,559,8,235
11,50,Essex School District,508,271,237,0,15,6,447,22,,17
11,51,Fairfield School District,10248,5216,5032,14,576,242,8241,887,,283
11,52,Farmington School District,4001,2085,1916,9,648,206,2882,250,,
11,53,Franklin School District,181,96,85,,,0,160,12,,
11,54,Glastonbury School District,6389,3149,3240,7,609,183,4899,456,,231
11,56,Granby School District,2039,1038,1001,6,30,86,1784,76,0,57
11,57,Greenwich School District,8760,4493,4267,9,711,267,5821,1659,,289
11,58,Griswold School District,1965,1013,952,23,31,58,1644,107,,101
11,59,Groton School District,4657,2390,2267,45,296,475,2710,832,11,288
11,60,Guilford School District,3510,1800,1710,,131,38,3045,205,,87
11,62,Hamden School District,5745,3002,2743,7,466,1686,2388,968,,227
11,63,Hampton School District,112,66,46,0,,0,100,10,0,
11,64,Hartford School District,21250,10945,10305,67,672,6626,2627,10529,34,695
11,65,Hartland School District,204,110,94,,,,192,,0,
11,67,Hebron School District,867,449,418,0,14,,796,35,0,17
11,68,Kent School District,272,153,119,0,,0,233,17,0,17
11,69,Killingly School District,2641,1322,1319,23,66,58,2210,150,0,134
11,71,Lebanon School District,1146,578,568,30,14,10,1040,46,,
11,72,Ledyard School District,2550,1270,1280,110,102,155,1831,219,45,88
11,73,Lisbon School District,396,212,184,,,,334,24,,27
